max_cc,moa,dam,loc,lcom,npm,CC,ce,noc,ca,rfc,bug
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
6.0,1.0,0.666666667,440.0,1.0,8.0,0.0,8.0,0.0,1.0,70.0,0.0
3.0,0.0,0.5,643.0,24.0,3.0,0.0,6.0,0.0,0.0,55.0,0.0
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
6.0,2.0,1.0,273.0,52.0,10.0,0.0,7.0,0.0,0.0,35.0,0.0
,,,,,,0.0,,,,,
2.0,1.0,1.0,76.0,2.0,5.0,0.0,7.0,0.0,0.0,20.0,0.0
5.0,1.0,1.0,168.0,15.0,12.0,0.0,10.0,0.0,0.0,43.0,0.0
3.0,0.0,1.0,87.0,0.0,4.0,0.0,5.0,0.0,0.0,21.0,0.0
11.0,1.0,1.0,642.0,52.0,13.0,0.0696279,11.0,1.0,1.0,64.0,0.0
5.0,0.0,1.0,265.0,4.0,7.0,0.179012,6.0,0.0,0.0,35.0,0.0
,,,,,,0.0,,,,,
1.0,0.0,1.0,136.0,1.0,6.0,0.376623,4.0,0.0,0.0,21.0,0.0
,,,,,,0.0,,,,,
3.0,1.0,1.0,310.0,32.0,12.0,0.326489,12.0,0.0,0.0,37.0,0.0
14.0,0.0,1.0,579.0,19.0,16.0,0.0,8.0,0.0,0.0,49.0,0.0
,,,,,,0.0,,,,,
1.0,0.0,1.0,152.0,4.0,3.0,0.0,3.0,0.0,0.0,17.0,0.0
,,,,,,0.0,,,,,
5.0,0.0,1.0,147.0,0.0,7.0,0.0,7.0,0.0,0.0,22.0,0.0
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
2.0,0.0,1.0,360.0,21.0,7.0,0.0,5.0,0.0,1.0,41.0,0.0
,,,,,,0.0,,,,,
3.0,2.0,1.0,406.0,97.0,12.0,0.0,13.0,1.0,5.0,56.0,0.0
7.0,4.0,0.916666667,566.0,162.0,14.0,0.0,16.0,0.0,10.0,77.0,1.0
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
1.0,3.0,1.0,185.0,0.0,6.0,0.0,6.0,0.0,1.0,26.0,0.0
3.0,1.0,1.0,395.0,29.0,5.0,0.198502,12.0,2.0,2.0,42.0,0.0
,,,,,,0.0,,,,,
1.0,0.0,0.0,5.0,10.0,5.0,0.0,0.0,0.0,10.0,5.0,0.0
7.0,0.0,1.0,169.0,0.0,7.0,0.0,1.0,0.0,5.0,25.0,0.0
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
1.0,0.0,1.0,29.0,1.0,3.0,0.0,2.0,0.0,0.0,6.0,0.0
7.0,0.0,1.0,261.0,6.0,4.0,0.212534,8.0,0.0,0.0,45.0,0.0
,,,,,,0.0,,,,,
1.0,0.0,1.0,153.0,5.0,5.0,0.0,4.0,0.0,0.0,24.0,0.0
,,,,,,0.0,,,,,
3.0,0.0,1.0,626.0,6.0,8.0,0.127729,7.0,0.0,0.0,34.0,3.0
,,,,,,0.0,,,,,
1.0,0.0,1.0,215.0,2.0,4.0,0.123239,4.0,0.0,0.0,32.0,0.0
,,,,,,0.0,,,,,
1.0,0.0,1.0,157.0,11.0,4.0,0.184615,4.0,0.0,0.0,25.0,0.0
2.0,1.0,1.0,404.0,65.0,14.0,0.192118,6.0,0.0,0.0,33.0,0.0
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
2.0,0.0,1.0,394.0,10.0,7.0,0.0,6.0,0.0,0.0,46.0,0.0
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
2.0,0.0,1.0,164.0,7.0,3.0,0.561086,5.0,1.0,1.0,33.0,0.0
,,,,,,0.0,,,,,
2.0,1.0,1.0,439.0,95.0,19.0,0.0,17.0,0.0,0.0,77.0,0.0
2.0,4.0,1.0,550.0,741.0,40.0,0.0,13.0,1.0,7.0,74.0,0.0
2.0,1.0,1.0,68.0,0.0,1.0,0.383838,1.0,0.0,0.0,11.0,0.0
10.0,5.0,1.0,1504.0,1670.0,59.0,0.0,21.0,0.0,6.0,155.0,0.0
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
10.0,2.0,1.0,176.0,0.0,0.0,0.0,5.0,0.0,0.0,29.0,0.0
4.0,1.0,1.0,147.0,44.0,5.0,0.0,2.0,0.0,1.0,21.0,0.0
4.0,0.0,1.0,271.0,10.0,8.0,0.0,3.0,0.0,0.0,40.0,0.0
1.0,1.0,1.0,92.0,1.0,4.0,0.0,1.0,1.0,7.0,15.0,0.0
0.0,0.0,0.0,14.0,0.0,1.0,0.0,3.0,0.0,6.0,3.0,0.0
6.0,1.0,1.0,164.0,0.0,11.0,0.0,6.0,11.0,12.0,37.0,0.0
1.0,0.0,1.0,84.0,1.0,3.0,0.0,3.0,0.0,0.0,14.0,1.0
,,,,,,0.0,,,,,
11.0,0.0,0.0,325.0,6.0,1.0,0.138756,6.0,0.0,0.0,32.0,0.0
2.0,1.0,1.0,168.0,0.0,9.0,0.0,9.0,0.0,0.0,29.0,0.0
11.0,2.0,1.0,658.0,291.0,20.0,0.0,9.0,0.0,2.0,83.0,2.0
,,,,,,0.0,,,,,
1.0,0.0,1.0,93.0,41.0,8.0,0.0,2.0,1.0,6.0,17.0,0.0
1.0,0.0,1.0,107.0,0.0,5.0,0.0,4.0,0.0,0.0,18.0,0.0
,,,,,,0.0,,,,,
5.0,2.0,1.0,632.0,91.0,13.0,0.0,8.0,0.0,2.0,69.0,1.0
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
4.0,1.0,1.0,675.0,165.0,16.0,0.0899067,16.0,0.0,1.0,72.0,1.0
,,,,,,0.0,,,,,
7.0,2.0,1.0,1034.0,175.0,19.0,0.0,10.0,0.0,1.0,96.0,0.0
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
7.0,0.0,1.0,307.0,63.0,13.0,0.352227,5.0,0.0,0.0,35.0,0.0
2.0,0.0,1.0,39.0,0.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0
3.0,0.0,0.166666667,583.0,2.0,6.0,0.041958,12.0,0.0,0.0,65.0,0.0
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
1.0,1.0,1.0,58.0,0.0,1.0,0.44186,1.0,0.0,0.0,9.0,0.0
2.0,1.0,1.0,157.0,14.0,8.0,0.0,7.0,0.0,1.0,25.0,0.0
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
1.0,0.0,0.833333333,300.0,8.0,5.0,0.0,4.0,0.0,3.0,32.0,0.0
11.0,3.0,1.0,375.0,0.0,4.0,0.0,12.0,0.0,0.0,36.0,0.0
1.0,0.0,1.0,91.0,0.0,3.0,0.0,5.0,0.0,1.0,17.0,0.0
,,,,,,0.0,,,,,
1.0,0.0,1.0,242.0,2.0,4.0,0.238532,8.0,0.0,0.0,42.0,0.0
,,,,,,0.0,,,,,
3.0,1.0,1.0,189.0,0.0,6.0,0.0,11.0,0.0,0.0,32.0,0.0
2.0,0.0,1.0,163.0,28.0,6.0,0.536797,7.0,0.0,0.0,33.0,0.0
1.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0
1.0,1.0,1.0,590.0,30.0,10.0,0.0,7.0,0.0,1.0,55.0,0.0
,,,,,,0.0,,,,,
3.0,0.0,1.0,1180.0,185.0,8.0,0.0,13.0,1.0,2.0,104.0,3.0
,,,,,,0.0,,,,,
1.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,3.0,2.0,0.0
1.0,0.0,0.0,125.0,3.0,1.0,0.0,7.0,0.0,1.0,16.0,0.0
14.0,7.0,1.0,743.0,5.0,4.0,0.0441696,13.0,4.0,4.0,81.0,1.0
1.0,0.0,0.0,132.0,3.0,2.0,0.0,7.0,0.0,1.0,18.0,0.0
1.0,0.0,1.0,97.0,1.0,2.0,0.239437,7.0,0.0,1.0,17.0,0.0
1.0,0.0,0.0,204.0,1.0,2.0,0.5,8.0,0.0,1.0,23.0,0.0
1.0,0.0,0.0,120.0,1.0,2.0,0.304348,8.0,0.0,1.0,19.0,0.0
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0406213,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.27027,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.48,,,,,
,,,,,,0.577963,,,,,
,,,,,,0.562044,,,,,
,,,,,,0.144578,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.51551,,,,,
,,,,,,0.40404,,,,,
,,,,,,0.0,,,,,
,,,,,,0.651007,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.651007,,,,,
,,,,,,0.0,,,,,
,,,,,,0.651007,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.215962,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0788382,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.147436,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0463918,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.315245,,,,,
,,,,,,0.0,,,,,
,,,,,,0.349112,,,,,
,,,,,,0.0451505,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.194379,,,,,
,,,,,,0.262857,,,,,
,,,,,,0.205663,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0700809,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.158837,,,,,
,,,,,,0.62,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.275036,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.1625,,,,,
,,,,,,0.352941,,,,,
16.0,0.0,1.0,448.0,65.0,17.0,0.0,3.0,0.0,22.0,46.0,0.0
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
7.0,4.0,1.0,277.0,48.0,21.0,0.0,8.0,0.0,1.0,47.0,1.0
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.385027,,,,,
2.0,1.0,1.0,98.0,18.0,5.0,0.0,3.0,4.0,5.0,15.0,0.0
5.0,0.0,1.0,59.0,8.0,5.0,0.0,1.0,5.0,11.0,11.0,0.0
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
1.0,0.0,1.0,47.0,0.0,3.0,0.0,2.0,1.0,3.0,9.0,0.0
,,,,,,0.0,,,,,
4.0,1.0,1.0,353.0,0.0,14.0,0.114823,8.0,2.0,16.0,56.0,1.0
,,,,,,0.752508,,,,,
3.0,3.0,1.0,285.0,11.0,10.0,0.113248,8.0,0.0,3.0,37.0,0.0
,,,,,,0.0,,,,,
,,,,,,0.320594,,,,,
,,,,,,0.0,,,,,
13.0,2.0,0.666666667,693.0,182.0,18.0,0.0,8.0,0.0,20.0,80.0,0.0
,,,,,,0.0,,,,,
,,,,,,0.349315,,,,,
6.0,0.0,1.0,461.0,76.0,11.0,0.298013,6.0,0.0,5.0,55.0,1.0
,,,,,,0.0,,,,,
,,,,,,0.816444,,,,,
1.0,0.0,1.0,55.0,4.0,5.0,0.0,2.0,0.0,14.0,12.0,0.0
3.0,0.0,1.0,110.0,4.0,9.0,0.0,7.0,0.0,3.0,20.0,0.0
3.0,0.0,1.0,68.0,13.0,6.0,0.0,1.0,0.0,2.0,11.0,0.0
8.0,0.0,1.0,354.0,4.0,4.0,0.0,0.0,0.0,1.0,35.0,0.0
,,,,,,0.0,,,,,
1.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,15.0,3.0,0.0
1.0,0.0,0.0,20.0,6.0,4.0,0.0,1.0,0.0,1.0,7.0,0.0
4.0,0.0,1.0,137.0,0.0,4.0,0.0,1.0,0.0,2.0,15.0,0.0
,,,,,,0.466667,,,,,
1.0,0.0,0.0,16.0,6.0,4.0,0.0,1.0,0.0,1.0,5.0,0.0
1.0,0.0,1.0,24.0,0.0,4.0,0.0,1.0,0.0,3.0,5.0,0.0
5.0,1.0,1.0,144.0,0.0,4.0,0.0,4.0,0.0,0.0,20.0,0.0
14.0,1.0,1.0,277.0,1.0,3.0,0.0,2.0,0.0,7.0,25.0,0.0
3.0,0.0,1.0,75.0,0.0,5.0,0.0,7.0,0.0,0.0,17.0,0.0
,,,,,,0.0,,,,,
3.0,0.0,1.0,65.0,0.0,5.0,0.0,4.0,0.0,0.0,13.0,0.0
,,,,,,0.0,,,,,
1.0,0.0,0.0,4.0,6.0,4.0,0.0,1.0,0.0,4.0,4.0,0.0
1.0,0.0,0.0,43.0,3.0,2.0,0.0,2.0,0.0,1.0,9.0,0.0
,,,,,,0.0,,,,,
11.0,2.0,0.0,527.0,297.0,10.0,0.0,2.0,0.0,1.0,63.0,0.0
5.0,0.0,0.0,81.0,10.0,3.0,0.0,0.0,0.0,1.0,9.0,0.0
2.0,0.0,1.0,96.0,0.0,3.0,0.0,0.0,0.0,1.0,18.0,0.0
3.0,0.0,0.818181818,617.0,38.0,17.0,0.0,0.0,0.0,2.0,35.0,0.0
0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4.0,0.0,1.0,747.0,243.0,30.0,0.0,2.0,0.0,4.0,65.0,0.0
1.0,2.0,1.0,604.0,84.0,16.0,0.0,2.0,0.0,1.0,40.0,0.0
1.0,1.0,0.75,437.0,41.0,14.0,0.0,2.0,0.0,1.0,37.0,0.0
7.0,0.0,0.0,274.0,28.0,8.0,0.0,0.0,0.0,1.0,14.0,0.0
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
12.0,1.0,0.636363636,1377.0,609.0,24.0,0.087146,6.0,0.0,10.0,103.0,0.0
,,,,,,0.0,,,,,
1.0,3.0,1.0,97.0,13.0,11.0,0.0,4.0,0.0,9.0,15.0,0.0
2.0,1.0,1.0,153.0,0.0,14.0,0.0,1.0,0.0,135.0,26.0,0.0
1.0,0.0,0.0,7.0,21.0,7.0,0.0,1.0,0.0,10.0,7.0,0.0
1.0,0.0,0.0,4.0,6.0,4.0,0.0,1.0,0.0,3.0,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,1.0,279.0,47.0,12.0,0.196809,5.0,1.0,4.0,34.0,1.0
2.0,1.0,1.0,118.0,11.0,4.0,0.0,1.0,0.0,1.0,18.0,0.0
11.0,0.0,0.0,63.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0
35.0,0.0,1.0,1489.0,181.0,14.0,0.505705,2.0,1.0,23.0,52.0,0.0
,,,,,,0.0,,,,,
1.0,0.0,1.0,20.0,0.0,2.0,0.0,0.0,0.0,1.0,7.0,0.0
1.0,0.0,0.0,13.0,78.0,13.0,0.0,0.0,0.0,5.0,13.0,0.0
,,,,,,0.0,,,,,
24.0,0.0,0.444444444,1093.0,201.0,17.0,0.114788,27.0,0.0,22.0,82.0,0.0
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.561299,,,,,
6.0,0.0,0.0,412.0,19.0,2.0,0.0,2.0,0.0,0.0,52.0,0.0
,,,,,,0.0,,,,,
3.0,1.0,0.75,69.0,8.0,3.0,0.0,0.0,0.0,58.0,10.0,0.0
7.0,0.0,0.857142857,1400.0,123.0,3.0,0.0132548,8.0,0.0,0.0,91.0,0.0
5.0,0.0,1.0,59.0,0.0,4.0,0.0,3.0,0.0,0.0,16.0,0.0
2.0,0.0,1.0,100.0,0.0,3.0,0.0,0.0,0.0,2.0,15.0,0.0
5.0,3.0,0.612903226,1776.0,2446.0,63.0,0.0793844,12.0,0.0,114.0,177.0,0.0
2.0,1.0,1.0,33.0,0.0,5.0,0.0,1.0,2.0,59.0,7.0,0.0
2.0,1.0,1.0,560.0,147.0,7.0,0.0348403,8.0,0.0,17.0,81.0,0.0
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
